figure,stem,png,pdf,caption,png_sha256,pdf_sha256
01,fig01_system_architecture,figures/png/fig01_system_architecture.png,figures/pdf/fig01_system_architecture.pdf,Streaming PMWM architecture and information flow.,3d3cf7ae5c03bf5e9a708967990af9cc6295b3a8ada000e16bccb4bb75096a33,94c4e2d0f35a34694a0567ba8ce57f2b3b8f8266c587a6e29f25233bec4b2fc1
02,fig02_data_coverage_and_anchors,figures/png/fig02_data_coverage_and_anchors.png,figures/pdf/fig02_data_coverage_and_anchors.pdf,Chronological data splits and globally distributed evaluation anchors.,c6b72bb8087e4317296cb10296e6362c3df34654920ec6b272c2478a70c76154,77f926e37d7d5991040a56a7fd7725bab43f4c6e68ebb03b0568c471cf2323cf
03,fig03_multivariate_era5_stream,figures/png/fig03_multivariate_era5_stream.png,figures/pdf/fig03_multivariate_era5_stream.pdf,Illustrative six-hourly ERA5 streams for contrasting climate anchors.,82110aac5929a0788e1b0a4534b36d6addc0d1741b72b4be4855c5e09a9ca2c1,f3538a9d15fce0784d79bd6a68b52241b002e370e63645c83393ad7d71c9030a
04,fig04_seasonal_climatology,figures/png/fig04_seasonal_climatology.png,figures/pdf/fig04_seasonal_climatology.pdf,Training-period monthly temperature climatology by anchor.,f182ba66bb5c669f05b3144025ae84841dda1b1eab092ea22920d29845382cbc,ecbeaeebbab8a0db09fd4d2c75dcd3b726afdb16e777fa75c36e7bed618f7c5e
05,fig05_event_discovery_timeline,figures/png/fig05_event_discovery_timeline.png,figures/pdf/fig05_event_discovery_timeline.pdf,Detected high-anomaly event states in the evaluation stream.,276f380038defd1841c4a5abf04f4e1466a292fb8e4bf05fe8e5641d178bdfc1,81ac2f18c5b5071cc269a2260540dce0b4363c1642caab689b021f1627c3cd27
06,fig06_training_convergence,figures/png/fig06_training_convergence.png,figures/pdf/fig06_training_convergence.pdf,"Training, validation, and auxiliary imputation convergence.",c7980f8b1275b48df9b49e305a3b4143b8677d6ea0c3107b67d82a9ec6b57663,5bb6b884c8364056fb32e90e0711bc0b1a3ec143d3053933134de3fce3035e32
07,fig07_forecast_leaderboard,figures/png/fig07_forecast_leaderboard.png,figures/pdf/fig07_forecast_leaderboard.pdf,Aggregate out-of-time forecast performance across targets and horizons.,51122f0199da1eb175532d2580a72f5feaff7f1139f5592595937275f2b04e38,4694863e9f00bd437de6c6805d24a316e31a3483ba3cb89a93fcc54b783a0437
08,fig08_skill_by_horizon,figures/png/fig08_skill_by_horizon.png,figures/pdf/fig08_skill_by_horizon.pdf,Forecast skill relative to climatology as lead time increases.,20025156c5d3ccb877abbd04f1870a1591c0341924f1385f58700ecc0a1d9bdf,f9529654f28dc1cdf61a7598d6fd5dcae2802ab87ebbec0ecc67223cb64f9135
09,fig09_target_horizon_improvement,figures/png/fig09_target_horizon_improvement.png,figures/pdf/fig09_target_horizon_improvement.pdf,PMWM RMSE improvement over the backbone for every target–horizon pair.,67da81b351765d557fa6fc9e7a1b72162ed77d27d513b49a360a8f1d082b977d,90afddd27fc3f659fadbf8ab825a7c6ac5862cef4fd945d7ebb5d45c8b8551d6
10,fig10_spatial_skill_map,figures/png/fig10_spatial_skill_map.png,figures/pdf/fig10_spatial_skill_map.pdf,Spatial distribution of PMWM improvements at seen anchors.,22cf958f44f4909aa51f3fe9bafa184b8751fbb19e42f00097154662fab3f7d0,12b75617560f81d9cab287da460caa1cc5f90c852531f74bb94b581c008e7712
11,fig11_extreme_event_case_study,figures/png/fig11_extreme_event_case_study.png,figures/pdf/fig11_extreme_event_case_study.pdf,Observed and predicted trajectories around the strongest held-out event window.,97be833b20277cd843f15494194067eb196a6260d3ed6f1e57b1cdc3ee6a6c77,359719f5697a1dda42302ad22db73038a37d3090ea3972ea11303043e9ef7528
12,fig12_predictive_intervals,figures/png/fig12_predictive_intervals.png,figures/pdf/fig12_predictive_intervals.pdf,Calibrated PMWM uncertainty intervals for an extreme-event window.,987a8fe0a2af705a7658c07b656aa4a0290ea20a2f73fb7de11e608b29e17eec,430acf132d6cfa1fe7ff1e588a33492c1ecd1a7f2c07fa8b1d2bab48ac16eb38
13,fig13_probabilistic_calibration,figures/png/fig13_probabilistic_calibration.png,figures/pdf/fig13_probabilistic_calibration.pdf,Coverage and extreme-event reliability diagnostics.,ed9ab15b4a72c9cc344f77f3ec7d16888ad77042eea8811faa04b0a4e061a31e,6ba186225c1008b2f39347ce45cd40c16060b8be9dd96e6075b4722b4585fa66
14,fig14_retrieval_quality,figures/png/fig14_retrieval_quality.png,figures/pdf/fig14_retrieval_quality.pdf,Similarity distribution and retrieval relevance metrics.,13b07fdafc43876a9f149dd44585fc6b31eef6b5d7e2eacb299560e8f4e07075,f89c5fc9a3ba14bcd241b8b675f4f11fd7d968558aa8e9e6c44f6660abcf5ee8
15,fig15_memory_embedding,figures/png/fig15_memory_embedding.png,figures/pdf/fig15_memory_embedding.pdf,Two-dimensional view of consolidated memory keys by season and event intensity.,e7c0b8019f0bc141876cce0c47ff4700d4fbb5d20572127b493d889715e5cb9a,2d66855cb0e3a1225fc27b16af992e7957b91af87c8f406bab169497b332feca
16,fig16_temporal_memory_graph,figures/png/fig16_temporal_memory_graph.png,figures/pdf/fig16_temporal_memory_graph.pdf,Graph linking high-impact memories by latent-state similarity.,36d65a84ec63a55518f0fb1ce058182223999484c37afd866395a517b4f5cd3b,aedf272abbe5d1da8b780fcd77968e6d891b242ca1055fa7ee80ba1f99706fa3
17,fig17_memory_ablation,figures/png/fig17_memory_ablation.png,figures/pdf/fig17_memory_ablation.pdf,Ablation of consolidation and event-specific memory slots.,12045b4f4c424299018d4d86ebd952ffe1ea7c0e5f9e2bcf61e42d040edec1fe,fcf851e27a48ea781164fd638f79d570831ef392862174930aff2bdca232d9d9
18,fig18_memory_efficiency_pareto,figures/png/fig18_memory_efficiency_pareto.png,figures/pdf/fig18_memory_efficiency_pareto.pdf,"Memory capacity, accuracy, and retrieval latency trade-offs.",885ec9c1bef8330fca4c91fecef3a3acaa6f8781f5a06a95edc62af7e895b32e,5b076bf5dccd15f797dbadf93410c262c5bda542ae6e33b58945b243ad3ae73b
19,fig19_continual_learning_matrix,figures/png/fig19_continual_learning_matrix.png,figures/pdf/fig19_continual_learning_matrix.pdf,Continual-learning performance across sequential test eras.,a4d0a95623824d8cf4b20fa16b9aa1a904672aa25b713e8359fef1ff8a6303ea,c923f56198e4cf725aab97745113d5eb665f452089dfb3f7bbaa76625710aa3c
20,fig20_zero_shot_domain_adaptation,figures/png/fig20_zero_shot_domain_adaptation.png,figures/pdf/fig20_zero_shot_domain_adaptation.pdf,Forecasting transfer to four held-out climate anchors before and after memory adaptation.,2632660ee446d15c953537c71bfdedc146f034a452f559071333272a344cc64f,16e7119e832c30ff674f958d3172d1c92919ffb63ecb6ee3056d6f07e5587b54
21,fig21_missing_value_imputation,figures/png/fig21_missing_value_imputation.png,figures/pdf/fig21_missing_value_imputation.pdf,Masked current-step imputation performance as missingness increases.,3eba986be99d6a2e381afbb037272bc13f2ee086404a9c8d8a02f75d90894034,6516853a25050c5e2bb96ecf51aac81dcb8bd5d7fe75508360c715c2f95f1954
22,fig22_residual_diagnostics,figures/png/fig22_residual_diagnostics.png,figures/pdf/fig22_residual_diagnostics.pdf,Autocorrelation and quantile diagnostics for backbone and PMWM residuals.,262612d3bd663e77bef06b7a2e75431f0aaa96b85097e02900cbf20bbae92dc9,8b079b536063b3bf96de8b1d800e81e0b23332315a582640fc51f602d84a600b
23,fig23_bootstrap_effects,figures/png/fig23_bootstrap_effects.png,figures/pdf/fig23_bootstrap_effects.pdf,Block-bootstrap confidence intervals for PMWM MSE reductions.,4a089ee1429e6c7c05c93ac58d2d1b2b2b86308bbbb65f41006a8b53e6ac57c6,f5db0eceb30fcf0ec54c4cfc4832fe01cc7ffe275a7ca557999913312de6f266
24,fig24_empirical_scorecard,figures/png/fig24_empirical_scorecard.png,figures/pdf/fig24_empirical_scorecard.pdf,"Compact scorecard of forecasting, calibration, retrieval, and efficiency results.",6598e6110c9c72e537a552d87ad3746380b541b3b35eaf0954723cacb5a41b61,2260a08baae83be80b70facceee65933b239e0bb37741795e448a74d0f2216cb
